Issue ID,Parent ID,Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Status,Sprint,Assignee,Component,Labels,Labels,Labels
75,,Task,Rediseñar la pantalla de resultados con el sistema visual definitivo,"Alinear la pantalla construida con los tokens y la jerarquía acordados.

CRITERIOS DE ACEPTACIÓN
1. La pantalla usa exclusivamente los tokens del sistema visual
2. La jerarquía visual coloca el resultado por encima de las métricas secundarias
3. Verificada en las anchuras de 320, 768, 1024 y 1440 píxeles

Identificador interno: TK-12",,Diseño y Experiencia,5,High,To Do,S5 Resultados y despliegue (12/10-23/10),Alexis Morante Herrera,Frontend,REVO,frontend,ux
76,,Task,Rediseñar el panel administrativo con el sistema visual definitivo,"El panel es la pantalla que ve el jurado. Hoy no comparte lenguaje visual con el resto.

CRITERIOS DE ACEPTACIÓN
1. El panel usa los tokens del sistema visual
2. Las métricas del modelo se presentan agrupadas y jerarquizadas
3. Verificado en escritorio y tablet

Identificador interno: TK-13",,Diseño y Experiencia,5,Medium,To Do,S5 Resultados y despliegue (12/10-23/10),Steven Febre Rivera,Frontend,REVO,frontend,admin
77,,Task,Acotar la política de CORS: hoy acepta cualquier subdominio del proveedor con credenciales,"Un patrón abierto permite que un despliegue ajeno del mismo proveedor llame a la API con las cookies del usuario.

CRITERIOS DE ACEPTACIÓN
1. Solo los origenes propios del proyecto quedan permitidos
2. Los métodos y cabeceras permitidos se declaran de forma explícita
3. Verificado que un origen no listado recibe rechazo

Identificador interno: TK-15",,Seguridad y Calidad,2,Highest,To Do,S5 Resultados y despliegue (12/10-23/10),Steven Febre Rivera,Backend,REVO,seguridad,
78,,Task,Dejar de devolver detalles internos de excepción al cliente,"Los mensajes de excepción filtran nombres de tabla, rutas y versión del motor de base de datos.

CRITERIOS DE ACEPTACIÓN
1. Las respuestas de error devuelven un mensaje genérico y un identificador de correlación
2. El detalle completo queda solo en el registro del servidor
3. Ninguna respuesta expone rutas, nombres de tabla ni trazas

Identificador interno: TK-17",,Seguridad y Calidad,2,High,To Do,S5 Resultados y despliegue (12/10-23/10),Wilson Collantes Aponte,Backend,REVO,seguridad,
79,,Task,Implementar y probar el respaldo y la restauración de la base de datos,"Un respaldo que nunca se restauró no es un respaldo.

CRITERIOS DE ACEPTACIÓN
1. Procedimiento de respaldo automatizado y documentado
2. Restauración probada al menos una vez sobre un entorno limpio
3. Definida la frecuencia y el período de retención

Identificador interno: TK-46",,Gestión del Servicio,3,Medium,To Do,S5 Resultados y despliegue (12/10-23/10),Steven Febre Rivera,Base de Datos,REVO,itil,base-datos
80,,Task,Corregir el generador de datos sintéticos para que represente perfiles indecisos,"La distribución actual es bimodal y no tiene zona media: el modelo nunca vio a una persona dudando entre dos ramas, que es el caso más frecuente en la realidad.

CRITERIOS DE ACEPTACIÓN
1. La distribución generada incluye perfiles con margen estrecho entre las dos primeras opciones
2. Se documenta la distribución objetivo y por qué se eligió
3. Se reentrena y se compara el desempeno antes y después del cambio

Identificador interno: TK-48",,Motor de Machine Learning,5,High,To Do,S5 Resultados y despliegue (12/10-23/10),Hebert Cornejo Garcia,ML,REVO,ml,dataset
81,,Bug,El despliegue no arranca: la configuración declara SECRET_KEY pero el código lee JWT_SECRET,"Además la generación automática daría un valor distinto a cada servicio, con lo que los tokens emitidos por uno no validarían en los otros.

CRITERIOS DE ACEPTACIÓN
1. El nombre de la variable coincide entre configuración y código
2. Los tres servicios comparten el mismo valor de secreto
3. Verificado que un token emitido por auth valida en survey y en ml

Identificador interno: BUG-01",,Infraestructura y DevOps,3,Highest,To Do,S6 Endurecimiento (26/10-06/11),Steven Febre Rivera,Infraestructura,REVO,seguridad,devops
82,,Bug,Rotar el secreto de firma que quedó expuesto en el historial del repositorio,"El valor está en commits antiguos. Cambiarlo en el archivo actual no lo invalida: sigue siendo recuperable del historial.

CRITERIOS DE ACEPTACIÓN
1. Nuevo secreto generado con entropía suficiente y cargado solo por variable de entorno
2. El secreto anterior queda invalidado en todos los entornos
3. Registrado en el ADR que el valor antiguo debe considerarse comprometido de forma permanente
4. Los tokens emitidos con el secreto antiguo dejan de validar

Identificador interno: BUG-02",,Seguridad y Calidad,5,Highest,To Do,S6 Endurecimiento (26/10-06/11),Steven Febre Rivera,Backend,REVO,seguridad,incidente
83,,Story,"Como estudiante, quiero consultar el historial de mis evaluaciones, para ver cómo evoluciona mi perfil","El valor del historial aparece a partir de la tercera evaluación. Con una sola, una gráfica de evolución miente.

CRITERIOS DE ACEPTACIÓN
1. Se listan las evaluaciones anteriores con fecha y especialización resultante
2. La forma de presentación se adapta al número de registros disponibles
3. Con una sola evaluación no se muestra gráfica de evolución
4. Existe estado vacio explícito cuando no hay evaluaciones

Identificador interno: HU-13",,Resultados y Visualización,5,Medium,To Do,S6 Endurecimiento (26/10-06/11),Alexis Morante Herrera,Frontend,REVO,frontend,ux
84,,Story,"Como responsable de seguridad, quiero una auditoría del sistema, para corregir vulnerabilidades antes de la puesta en operación","Revisión sistemática sobre inyección, control de acceso, exposición de datos y configuración.

CRITERIOS DE ACEPTACIÓN
1. Revisados los diez puntos del OWASP Top 10 con evidencia por cada uno
2. Cada hallazgo queda registrado con severidad y tarea de corrección asociada
3. Los hallazgos críticos se corrigen dentro del mismo sprint

Identificador interno: HU-16",,Seguridad y Calidad,5,Highest,To Do,S6 Endurecimiento (26/10-06/11),Steven Febre Rivera,Backend,REVO,seguridad,
85,,Story,"Como equipo, queremos integración continua, para validar cada cambio automáticamente","Sin CI la calidad depende de que alguien se acuerde de ejecutar las pruebas.

CRITERIOS DE ACEPTACIÓN
1. Cada envio a una rama ejecuta linters y pruebas automáticamente
2. Una rama con pruebas en rojo no puede fusionarse a main
3. El resultado del pipeline es visible desde el repositorio

Identificador interno: HU-18",,Infraestructura y DevOps,5,High,To Do,S6 Endurecimiento (26/10-06/11),Steven Febre Rivera,Infraestructura,REVO,devops,calidad
86,,Story,"Como equipo, queremos neutralizar la redacción del banco de preguntas, para que el instrumento pueda validarse psicométricamente","Los 100 items usan superlativos que empujan la respuesta y comparten plantilla dentro de cada categoría. Medir la consistencia interna antes de corregirlo daría un coeficiente alto por parecido de redacción, no por calidad de medida.

CRITERIOS DE ACEPTACIÓN
1. Se eliminan los superlativos y los adverbios que inducen la respuesta
2. Los items de una misma categoría dejan de compartir plantilla literal
3. Cada categoría declara qué constructo mide realmente
4. El banco corregido queda versionado y revisado por dos integrantes

Identificador interno: HU-28",,Motor de Machine Learning,5,High,To Do,S6 Endurecimiento (26/10-06/11),Hebert Cornejo Garcia,Base de Datos,REVO,ml,contenido
87,,Task,Limitar el tamano del lote de respuestas y del cuerpo de las peticiones,"Sin límite, una petición con miles de elementos consume memoria y tiempo de base sin necesidad de un ataque sofisticado.

CRITERIOS DE ACEPTACIÓN
1. El lote de respuestas tiene un máximo declarado en el esquema de validación
2. Superar el límite devuelve 422 con mensaje claro
3. El tamano máximo de cuerpo esta limitado a nivel de aplicación

Identificador interno: TK-16",,Seguridad y Calidad,3,High,To Do,S6 Endurecimiento (26/10-06/11),Wilson Collantes Aponte,Backend,REVO,seguridad,
88,,Task,Configurar los límites del grupo de conexiones a base de datos,"Con el grupo sin techo, una ráfaga de peticiones agota las conexiones del motor y tumba los tres servicios.

CRITERIOS DE ACEPTACIÓN
1. Tamano de grupo, desbordamiento máximo y tiempo de espera configurados en cada servicio
2. Los valores se justifican contra el máximo de conexiones del motor
3. Verificado bajo carga que el servicio degrada con error controlado en vez de colgarse

Identificador interno: TK-18",,Infraestructura y DevOps,2,High,To Do,S6 Endurecimiento (26/10-06/11),Wilson Collantes Aponte,Backend,REVO,infraestructura,backend
89,,Task,Añadir análisis estatico de seguridad y detección de secretos al pipeline,"Detectar un secreto antes de que entre al historial es la única forma barata de evitarlo.

CRITERIOS DE ACEPTACIÓN
1. El pipeline ejecuta análisis estatico sobre el código Python y JavaScript
2. La detección de secretos bloquea la fusión si encuentra una coincidencia
3. Las dependencias se revisan contra vulnerabilidades conocidas

Identificador interno: TK-20",,Seguridad y Calidad,3,High,To Do,S6 Endurecimiento (26/10-06/11),Steven Febre Rivera,Infraestructura,REVO,seguridad,devops
90,,Task,Manejar en el frontend la respuesta de límite de tráfico excedido,"Si el control de tráfico devuelve 429 y la interfaz lo muestra como error genérico, el estudiante cree que el sistema se rompio.

CRITERIOS DE ACEPTACIÓN
1. La respuesta 429 muestra un mensaje específico con el tiempo de espera
2. El botón de reintentar se habilita solo cuando el tiempo de espera termina
3. El progreso del cuestionario no se pierde durante la espera

Identificador interno: TK-24",,Resultados y Visualización,3,High,To Do,S6 Endurecimiento (26/10-06/11),Alexis Morante Herrera,Frontend,REVO,frontend,ux
91,,Task,Endurecer la política de contraseñas y eliminar el truncado silencioso,"Hoy una contraseña más larga que el límite del algoritmo se recorta sin avisar, lo que reduce la seguridad real sin que el usuario lo sepa.

CRITERIOS DE ACEPTACIÓN
1. Longitud mínima y máxima declaradas y validadas antes de cifrar
2. Superar la longitud máxima devuelve error explícito en vez de recortar
3. Se rechazan las contraseñas de uso común mediante lista de bloqueo

Identificador interno: TK-29",,Seguridad y Calidad,3,Medium,To Do,S6 Endurecimiento (26/10-06/11),Wilson Collantes Aponte,Backend,REVO,seguridad,autenticacion
92,,Task,Eliminar los scripts sueltos de mantenimiento que manipulan credenciales,"Scripts de un solo uso que quedaron en el repositorio y contienen lógica de contraseñas.

CRITERIOS DE ACEPTACIÓN
1. Los scripts de un solo uso quedan fuera del repositorio
2. Lo que siga siendo necesario se convierte en un comando documentado
3. Verificado que ningún script residual contiene credenciales

Identificador interno: TK-44",,Seguridad y Calidad,2,Medium,To Do,S6 Endurecimiento (26/10-06/11),Wilson Collantes Aponte,Backend,REVO,seguridad,limpieza
93,,Story,"Como equipo, queremos pruebas automatizadas del back-end, para detectar regresiones antes de desplegar","Cobertura sobre los tres servicios: unitarias de lógica, de integración sobre los endpoints y de aislamiento entre usuarios.

CRITERIOS DE ACEPTACIÓN
1. Pruebas unitarias sobre el cálculo de afinidad, la selección adaptativa y la predicción
2. Pruebas de integración sobre los endpoints de autenticación, sesiones y predicción
3. Prueba explícita de que un usuario no puede leer ni escribir datos de otro
4. Cobertura mínima del 80 por ciento medida y publicada en el pipeline

Identificador interno: HU-17",,Seguridad y Calidad,8,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,calidad,testing
94,93,Sub-task,Montar el entorno de pruebas con base de datos aislada,Sub-tarea de HU-17.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,calidad,
95,93,Sub-task,Escribir las pruebas unitarias de la lógica de cuestionario y modelo,Sub-tarea de HU-17.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,calidad,
96,93,Sub-task,Escribir las pruebas de integración de los endpoints,Sub-tarea de HU-17.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,calidad,
97,93,Sub-task,Escribir las pruebas de aislamiento entre usuarios y por rol,Sub-tarea de HU-17.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,calidad,
98,,Story,"Como estudiante en un aula de 40 compañeros, quiero completar el test aunque todos compartamos la misma dirección IP, para que el control de tráfico no me bloquee","Un aula sale a internet por una sola IP. Un límite por IP bloquearía a la clase entera. El límite tiene que ir por identidad, con la IP solo como red de seguridad amplia.

CRITERIOS DE ACEPTACIÓN
1. Cuarenta estudiantes desde la misma IP completan el test sin bloqueos
2. El límite de los endpoints autenticados se cuenta por usuario, no por IP
3. El límite por IP existe pero con un techo diez veces superior al pico esperado del aula
4. El límite de inicio de sesión se cuenta por cuenta, no por IP, para no bloquear el aula entera

Identificador interno: HU-19",,Seguridad y Calidad,8,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,rendimiento
99,98,Sub-task,Dimensionar el límite a partir del tráfico real de un aula de 40,Sub-tarea de HU-19.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
100,98,Sub-task,"Definir la clave de conteo por endpoint: usuario, cuenta o IP",Sub-tarea de HU-19.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
101,98,Sub-task,Validar el comportamiento con las 40 sesiones concurrentes,Sub-tarea de HU-19.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
102,,Story,"Como equipo, queremos pruebas del frontend, para que un cambio de estilo no rompa un flujo funcional","El frontend concentra la validación de campos y el manejo de estados de error, que es justo lo que se rompe en silencio.

CRITERIOS DE ACEPTACIÓN
1. Pruebas unitarias de los componentes con lógica de validación
2. Prueba de extremo a extremo del recorrido completo: registro, cuestionario y resultado
3. Las pruebas se ejecutan en el pipeline junto con las del back-end

Identificador interno: HU-27",,Seguridad y Calidad,5,High,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Alexis Morante Herrera,Frontend,REVO,calidad,testing
103,,Task,Añadir un almacén compartido de contadores para el control de tráfico,"Con tres servicios y contadores en memoria, cada replica cuenta por separado y el límite real es el triple del configurado.

CRITERIOS DE ACEPTACIÓN
1. Los contadores viven en un almacén compartido por los tres servicios
2. Si el almacén no responde, el servicio sigue atendiendo en vez de rechazar todo
3. El almacén está incluido en el entorno local y en el desplegado

Identificador interno: TK-21",,Infraestructura y DevOps,3,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Infraestructura,REVO,infraestructura,
104,,Task,Implementar el control de tráfico por identidad con red de seguridad por IP,"Implementación de la política dimensionada en HU-19.

CRITERIOS DE ACEPTACIÓN
1. Cada endpoint declara su límite y su clave de conteo
2. La respuesta 429 incluye la cabecera con el tiempo de espera
3. Los límites se configuran por entorno y no requieren cambiar código
4. Existen pruebas que verifican el bloqueo y la liberación al expirar la ventana

Identificador interno: TK-22",,Seguridad y Calidad,8,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
105,104,Sub-task,Integrar el limitador en los tres servicios,Sub-tarea de TK-22.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
106,104,Sub-task,Declarar límite y clave de conteo por endpoint,Sub-tarea de TK-22.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
107,104,Sub-task,Escribir las pruebas de bloqueo y de expiración de ventana,Sub-tarea de TK-22.,,,,Highest,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,
108,,Task,"Aplicar retardo progresivo por cuenta en el inicio de sesión, sin bloqueo duro","Bloquear una cuenta tras N intentos convierte el control en una forma de negación de servicio: basta con fallar adrede contra la cuenta de otro para dejarlo fuera.

CRITERIOS DE ACEPTACIÓN
1. Cada intento fallido incrementa el retardo de la respuesta
2. La cuenta nunca queda bloqueada de forma permanente por intentos fallidos
3. Un inicio de sesión correcto reinicia el contador
4. El retardo no revela si la cuenta existe

Identificador interno: TK-23",,Seguridad y Calidad,3,High,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Steven Febre Rivera,Backend,REVO,seguridad,autenticacion
109,,Task,Eliminar la doble escritura de respuestas del cuestionario,"Cada respuesta se envia dos veces. Reducirlo baja las peticiones por estudiante de 36 a 11, un 69 por ciento menos de carga.

CRITERIOS DE ACEPTACIÓN
1. Cada respuesta se persiste con una sola petición
2. El lote de la fase se guarda en una única transacción
3. Medido y documentado el número de peticiones por estudiante antes y después

Identificador interno: TK-25",,Cuestionario Adaptativo,3,High,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,rendimiento,backend
110,,Task,Ejecutar una prueba de carga simulando un aula de 40 estudiantes concurrentes,"Es el escenario real de uso: una clase entera respondiendo a la vez.

CRITERIOS DE ACEPTACIÓN
1. Escenario que reproduce 40 sesiones concurrentes recorriendo las tres fases
2. Se registran tiempo de respuesta percentil 95, errores y uso de conexiones
3. El resultado se compara contra el SLA comprometido
4. Los cuellos de botella detectados quedan como tareas del backlog

Identificador interno: TK-27",,Seguridad y Calidad,5,High,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Wilson Collantes Aponte,Backend,REVO,rendimiento,calidad
111,,Task,Reclutar y coordinar el grupo piloto de estudiantes para la validación,"La validación del sprint 8 depende de tener personas reales agendadas con antelación.

CRITERIOS DE ACEPTACIÓN
1. Al menos 30 estudiantes confirmados con fecha y modalidad de participación
2. Consentimiento informado redactado y aceptado por cada participante
3. Definido qué datos se recogen y cómo se anonimizan

Identificador interno: TK-58",,Gestión del Proyecto,3,High,To Do,"S7 Carga, pruebas y servicio (09/11-20/11)",Hebert Cornejo Garcia,Documentación,REVO,planificacion,validacion
112,,Story,"Como equipo, queremos validar el sistema con estudiantes reales, para detectar problemas de usabilidad no previstos","Hasta aquí todo se probó contra datos generados. Esta es la primera evidencia real.

CRITERIOS DE ACEPTACIÓN
1. Al menos 30 estudiantes completan el recorrido de principio a fin
2. Se registra tasa de finalización, tiempo por fase y puntos de abandono
3. Cada incidencia observada queda en el backlog con severidad
4. Se recoge si el estudiante considera acertada la recomendación recibida

Identificador interno: HU-22",,Gestión del Proyecto,8,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Alexis Morante Herrera,Documentación,REVO,validacion,ux
113,112,Sub-task,Preparar el guion de la sesión y el instrumento de observación,Sub-tarea de HU-22.,,,,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Alexis Morante Herrera,Documentación,REVO,validacion,
114,112,Sub-task,Ejecutar las sesiones y registrar las incidencias,Sub-tarea de HU-22.,,,,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Alexis Morante Herrera,Documentación,REVO,validacion,
115,112,Sub-task,Consolidar los resultados y priorizar las correcciones,Sub-tarea de HU-22.,,,,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Alexis Morante Herrera,Documentación,REVO,validacion,
116,,Story,"Como equipo, queremos medir la consistencia interna del banco de preguntas, para demostrar que el instrumento mide lo que dice medir","Depende de HU-28: medir antes de neutralizar la redacción daría un coeficiente alto por parecido de redacción y no probaría nada.

CRITERIOS DE ACEPTACIÓN
1. Se calcula el alfa de Cronbach por especialización sobre respuestas reales
2. Se declara el umbral aceptado y su fuente antes de ver el resultado
3. Los items que bajan la consistencia se identifican y se marcan para revisión
4. El resultado se reporta tal cual, incluso si queda por debajo del umbral

Identificador interno: HU-23",,Motor de Machine Learning,5,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,validacion
117,,Story,"Como sistema, quiero entrenar sobre la validación real de los estudiantes, para que la métrica de acierto signifique algo","Con la etiqueta derivada de las propias respuestas, el modelo aprende a reproducir una fórmula. Solo la validación humana rompe esa circularidad.

CRITERIOS DE ACEPTACIÓN
1. La etiqueta de entrenamiento proviene de la confirmación del estudiante, no del cálculo de afinidad
2. Se reentrena y se reporta el desempeno contra la línea base trivial
3. Se documenta explícitamente la diferencia entre la métrica anterior y la nueva
4. Si el modelo no supera la línea base, se reporta así y se explica

Identificador interno: HU-24",,Motor de Machine Learning,8,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,dataset
118,117,Sub-task,Recoger y consolidar la confirmación de los estudiantes del piloto,Sub-tarea de HU-24.,,,,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,
119,117,Sub-task,Reconstruir el conjunto de entrenamiento con la etiqueta real,Sub-tarea de HU-24.,,,,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,
120,117,Sub-task,"Reentrenar, comparar contra la línea base y documentar el resultado",Sub-tarea de HU-24.,,,,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,
121,,Story,"Como estudiante con un perfil ambiguo, quiero que el sistema reconozca la duda en vez de darme un ganador con falsa confianza","Cerca de la mitad de las personas reales tienen dos ramas casi empatadas. Forzar un único ganador ahí es un error de producto, no del modelo.

CRITERIOS DE ACEPTACIÓN
1. Se define un umbral de margen por debajo del cual el resultado se declara ambiguo
2. El resultado ambiguo presenta las dos o tres opciones cercanas en lugar de una
3. El texto explica que la ambigüedad es un resultado valido y qué hacer con él
4. El caso ambiguo está cubierto por prueba automatizada

Identificador interno: HU-25",,Resultados y Visualización,5,High,To Do,S8 Validación con usuarios reales (23/11-04/12),Wilson Collantes Aponte,ML,REVO,ml,ux
122,,Task,Convertir en pruebas automatizadas las comprobaciones de seguridad verificadas a mano,"Una comprobación manual se hace una vez; una automatizada se hace en cada cambio.

CRITERIOS DE ACEPTACIÓN
1. Prueba de que un usuario no accede a datos de otro
2. Prueba de que un estudiante recibe 403 en los endpoints de administrador
3. Prueba de que un origen no permitido es rechazado por CORS
4. Prueba de que las respuestas de error no exponen detalle interno

Identificador interno: TK-19",,Seguridad y Calidad,5,Highest,To Do,S8 Validación con usuarios reales (23/11-04/12),Steven Febre Rivera,Backend,REVO,seguridad,testing
123,,Task,"Incorporar al modelo las respuestas de la fase 3, hoy descartadas","La fase 3 se responde, se guarda y no entra al modelo. Es información recogida y desaprovechada.

CRITERIOS DE ACEPTACIÓN
1. Las respuestas de la fase 3 se transforman en variables de entrada del modelo
2. Se mide si su incorporación mejora el desempeno contra la línea base
3. Si no aporta, se documenta y se decide si mantener la fase

Identificador interno: TK-28",,Motor de Machine Learning,5,Medium,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,
124,,Task,"Reportar en el panel la diferencia contra la línea base, no solo la exactitud","Una exactitud del 99 por ciento es engañosa si una regla de una línea alcanza el mismo número. Lo informativo es la diferencia.

CRITERIOS DE ACEPTACIÓN
1. El panel muestra exactitud del modelo, exactitud de la línea base y la diferencia
2. La diferencia negativa se muestra como tal, sin ocultarse
3. El texto explica qué significa la línea base para un lector no técnico

Identificador interno: TK-47",,Panel Administrativo,3,High,To Do,S8 Validación con usuarios reales (23/11-04/12),Hebert Cornejo Garcia,ML,REVO,ml,admin
125,,Story,"Como equipo, queremos monitorear disponibilidad y errores, para detectar problemas antes que los usuarios","Compromiso derivado del SLA definido en HU-20.

CRITERIOS DE ACEPTACIÓN
1. Cada servicio expone un endpoint de salud que verifica sus dependencias
2. Existe registro estructurado de errores con nivel y correlación
3. Se define el umbral de alerta y a quien notifica
4. La disponibilidad medida se contrasta con el SLA comprometido

Identificador interno: HU-21",,Gestión del Servicio,5,High,To Do,S9 Estabilización y cierre (07/12-18/12),Wilson Collantes Aponte,Infraestructura,REVO,itil,devops
126,,Task,Redactar el manual de usuario del sistema,"Dirigido al estudiante y al administrador, con capturas de la versión final.

CRITERIOS DE ACEPTACIÓN
1. Recorrido completo documentado con capturas actualizadas
2. Sección de preguntas frecuentes y de errores comunes
3. Revisado por alguien que no participo en el desarrollo

Identificador interno: TK-30",,Gestión del Proyecto,3,Medium,To Do,S9 Estabilización y cierre (07/12-18/12),Alexis Morante Herrera,Documentación,REVO,documentacion,
127,,Task,Corregir las incidencias detectadas en la validación con usuarios,"Trabajo derivado de HU-22. Se dimensiona al cerrar el sprint 8.

CRITERIOS DE ACEPTACIÓN
1. Todas las incidencias de severidad alta quedan corregidas
2. Las de severidad media se corrigen o se documentan como limitación conocida
3. Cada corrección tiene prueba que evita la regresión

Identificador interno: TK-31",,Infraestructura y DevOps,8,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Wilson Collantes Aponte,Backend,REVO,calidad,
128,127,Sub-task,Priorizar las incidencias por severidad y frecuencia,Sub-tarea de TK-31.,,,,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Wilson Collantes Aponte,Backend,REVO,calidad,
129,127,Sub-task,Corregir las de severidad alta,Sub-tarea de TK-31.,,,,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Wilson Collantes Aponte,Backend,REVO,calidad,
130,127,Sub-task,Verificar cada corrección con prueba automatizada,Sub-tarea de TK-31.,,,,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Wilson Collantes Aponte,Backend,REVO,calidad,
131,,Task,Actualizar el documento de requerimientos para que describa el sistema real,"El PRD declara un motor de base de datos y un algoritmo distintos de los que el sistema usa. Es la clase de discrepancia que un jurado detecta de inmediato.

CRITERIOS DE ACEPTACIÓN
1. El PRD refleja el motor de base de datos, el algoritmo y la arquitectura reales
2. Las métricas citadas coinciden con las que el sistema reporta
3. Revisado contra el código, no contra la memoria del equipo

Identificador interno: TK-32",,Gestión del Proyecto,3,High,To Do,S9 Estabilización y cierre (07/12-18/12),Hebert Cornejo Garcia,Documentación,REVO,documentacion,
132,,Task,Completar la documentación final del proyecto,"Entregable académico: memoria, manual técnico y evidencias de todas las fases.

CRITERIOS DE ACEPTACIÓN
1. Memoria con problema, solución, arquitectura, resultados y conclusiones
2. Manual técnico de instalación y despliegue verificado por un tercero
3. Evidencias de las ceremonias, los sprints y las métricas del proyecto

Identificador interno: TK-33",,Gestión del Proyecto,5,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Hebert Cornejo Garcia,Documentación,REVO,documentacion,cierre
133,,Task,Grabar el video demostrativo del sistema,"Respaldo por si falla la conexión o el despliegue durante la sustentación.

CRITERIOS DE ACEPTACIÓN
1. Recorrido completo grabado sobre el entorno desplegado
2. Duración ajustada al límite del curso
3. Narración que explica qué hace el sistema y por qué

Identificador interno: TK-34",,Gestión del Proyecto,3,High,To Do,S9 Estabilización y cierre (07/12-18/12),Alexis Morante Herrera,Documentación,REVO,documentacion,cierre
134,,Task,Preparar la presentación de sustentación,"Tiene que anticipar las preguntas dificiles en lugar de esquivarlas.

CRITERIOS DE ACEPTACIÓN
1. Presentación con problema, solución, arquitectura, resultados y limitaciones
2. Las limitaciones conocidas se presentan de forma explícita
3. Preparada la respuesta a las preguntas previsibles sobre el modelo y el instrumento

Identificador interno: TK-35",,Gestión del Proyecto,5,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Hebert Cornejo Garcia,Documentación,REVO,cierre,
135,,Task,Desplegar la versión final y verificar el entorno productivo,"Último despliegue antes de la sustentación. Se verifica, no se asume.

CRITERIOS DE ACEPTACIÓN
1. Versión etiquetada segun la política de versionado definida
2. Recorrido completo verificado sobre el entorno desplegado
3. Plan de reversión documentado y probado

Identificador interno: TK-36",,Infraestructura y DevOps,3,Highest,To Do,S9 Estabilización y cierre (07/12-18/12),Steven Febre Rivera,Infraestructura,REVO,devops,cierre
136,,Task,Ensayo general de la sustentación,"Ensayo cronometrado con el entorno real y reparto de intervenciones.

CRITERIOS DE ACEPTACIÓN
1. Ensayo completo cronometrado dentro del tiempo asignado
2. Cada integrante conoce su parte y puede responder por ella
3. Verificado el plan de contingencia si falla la conexión

Identificador interno: TK-37",,Gestión del Proyecto,2,High,To Do,S9 Estabilización y cierre (07/12-18/12),Steven Febre Rivera,Documentación,REVO,cierre,
